https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1610755200000,2021-01-16 00:00:00,SOL/USDT,3.2456,3.7157,3.1236,3.4259,20722357,71477803.7102,174914
1610668800000,2021-01-15 00:00:00,SOL/USDT,3.2949,3.4438,2.9739,3.2464,12931161,42376309.6136,130410
1610582400000,2021-01-14 00:00:00,SOL/USDT,3.5281,3.5674,3.1741,3.2949,16853114,56738134.2119,159164
1610496000000,2021-01-13 00:00:00,SOL/USDT,3.6290,3.6398,3.2472,3.5291,16335568,56372993.9867,160046
1610409600000,2021-01-12 00:00:00,SOL/USDT,3.0962,3.9040,3.0477,3.6276,22851398,79358568.5075,200172
1610323200000,2021-01-11 00:00:00,SOL/USDT,3.4453,3.5257,2.5833,3.0988,24846781,74321168.0438,237210
1610236800000,2021-01-10 00:00:00,SOL/USDT,3.3757,3.7640,3.1500,3.4460,21972369,75400641.2579,198672
1610150400000,2021-01-09 00:00:00,SOL/USDT,3.2220,3.7000,2.9100,3.3776,33590496,110367460.6290,312539
1610064000000,2021-01-08 00:00:00,SOL/USDT,2.3650,3.8480,2.1800,3.2220,70113587,214469464.5259,586481
1609977600000,2021-01-07 00:00:00,SOL/USDT,1.8722,2.7330,1.8123,2.3651,105584282,235658891.3554,690590
1609891200000,2021-01-06 00:00:00,SOL/USDT,2.1385,2.1578,1.6734,1.8753,52219666,101433608.5283,350332
1609804800000,2021-01-05 00:00:00,SOL/USDT,2.4803,2.5012,2.0527,2.1355,32981577,74122273.2818,254636
1609718400000,2021-01-04 00:00:00,SOL/USDT,2.1783,2.4900,1.8182,2.4832,35966844,79377997.8900,323343
1609632000000,2021-01-03 00:00:00,SOL/USDT,1.7978,2.3589,1.7956,2.1767,37747051,77823538.9488,317362
1609545600000,2021-01-02 00:00:00,SOL/USDT,1.8377,1.9951,1.7091,1.7976,22401546,40656021.7152,195073
1609459200000,2021-01-01 00:00:00,SOL/USDT,1.5043,1.8498,1.4890,1.8382,18813441,31449972.0102,150256
1609372800000,2020-12-31 00:00:00,SOL/USDT,1.5319,1.5445,1.4120,1.5040,10697724,15965402.7765,80102
1609286400000,2020-12-30 00:00:00,SOL/USDT,1.6661,1.6860,1.5152,1.5304,10523673,16681862.7611,83458
1609200000000,2020-12-29 00:00:00,SOL/USDT,1.5165,1.7293,1.4321,1.6660,24077341,37889641.9584,164781
1609113600000,2020-12-28 00:00:00,SOL/USDT,1.3027,1.5222,1.2857,1.5169,10974507,15426023.9918,84012
1609027200000,2020-12-27 00:00:00,SOL/USDT,1.3209,1.4148,1.2544,1.3023,11065395,14661912.6872,88389
1608940800000,2020-12-26 00:00:00,SOL/USDT,1.4447,1.4463,1.3069,1.3215,6201784,8498600.1158,53368
1608854400000,2020-12-25 00:00:00,SOL/USDT,1.3654,1.4514,1.3444,1.4448,8592846,12073535.1173,69957
1608768000000,2020-12-24 00:00:00,SOL/USDT,1.1975,1.3859,1.1574,1.3638,11726008,14867045.8763,90250
1608681600000,2020-12-23 00:00:00,SOL/USDT,1.4903,1.5133,1.0690,1.1975,14168317,18457980.0103,109825
1608595200000,2020-12-22 00:00:00,SOL/USDT,1.5353,1.5722,1.4696,1.4905,7486927,11405071.3109,66299
1608508800000,2020-12-21 00:00:00,SOL/USDT,1.5650,1.6198,1.4916,1.5347,5739528,8905255.4792,54088
1608422400000,2020-12-20 00:00:00,SOL/USDT,1.6673,1.6888,1.5178,1.5638,5851925,9490355.4189,57271
1608336000000,2020-12-19 00:00:00,SOL/USDT,1.7010,1.7695,1.6562,1.6683,7757307,13322112.0289,64847
1608249600000,2020-12-18 00:00:00,SOL/USDT,1.6800,1.7104,1.6317,1.7003,6732255,11258336.7374,64628
1608163200000,2020-12-17 00:00:00,SOL/USDT,1.7865,1.8167,1.6382,1.6808,11618488,20049920.1674,101441
1608076800000,2020-12-16 00:00:00,SOL/USDT,1.7534,1.7986,1.6000,1.7869,13742356,23258626.6486,105049
1607990400000,2020-12-15 00:00:00,SOL/USDT,1.5927,1.8012,1.5858,1.7534,15330195,26329955.8445,120743
1607904000000,2020-12-14 00:00:00,SOL/USDT,1.5640,1.6244,1.5198,1.5936,7690894,12073352.5151,64207
1607817600000,2020-12-13 00:00:00,SOL/USDT,1.4879,1.6500,1.4540,1.5636,9298357,14566108.4681,68190
1607731200000,2020-12-12 00:00:00,SOL/USDT,1.4394,1.5337,1.4362,1.4886,6893494,10327722.6780,60274
1607644800000,2020-12-11 00:00:00,SOL/USDT,1.5686,1.5778,1.4316,1.4406,6597970,9800482.1748,81299
1607558400000,2020-12-10 00:00:00,SOL/USDT,1.6552,1.6644,1.5409,1.5686,6532250,10428341.5934,111203
1607472000000,2020-12-09 00:00:00,SOL/USDT,1.6617,1.6724,1.4969,1.6553,7017013,11348550.5482,67604
1607385600000,2020-12-08 00:00:00,SOL/USDT,1.8287,1.8322,1.6271,1.6617,7473779,12913426.0564,68598
1607299200000,2020-12-07 00:00:00,SOL/USDT,1.8517,1.9006,1.8100,1.8299,4623318,8549182.8543,48233
1607212800000,2020-12-06 00:00:00,SOL/USDT,1.9776,1.9899,1.8097,1.8515,5088610,9532955.9613,54310
1607126400000,2020-12-05 00:00:00,SOL/USDT,1.8449,1.9816,1.8158,1.9776,5294952,10105219.8048,51565
1607040000000,2020-12-04 00:00:00,SOL/USDT,2.0985,2.1129,1.8256,1.8463,7048518,13973188.2356,67472
1606953600000,2020-12-03 00:00:00,SOL/USDT,2.1152,2.2223,2.0705,2.0989,8707406,18699713.3725,77276
1606867200000,2020-12-02 00:00:00,SOL/USDT,1.9681,2.2047,1.9252,2.1160,8791836,18316039.9035,87161
1606780800000,2020-12-01 00:00:00,SOL/USDT,1.9594,2.1334,1.9032,1.9695,9480633,19106266.8032,95014
1606694400000,2020-11-30 00:00:00,SOL/USDT,1.9101,2.0150,1.8979,1.9590,6712193,13162021.4123,66250
1606608000000,2020-11-29 00:00:00,SOL/USDT,1.8813,1.9418,1.8439,1.9093,5200776,9852462.9326,54695
1606521600000,2020-11-28 00:00:00,SOL/USDT,1.8551,1.9382,1.7912,1.8821,6099812,11409745.5245,62264
1606435200000,2020-11-27 00:00:00,SOL/USDT,1.9020,1.9621,1.7643,1.8558,8008055,14962518.8657,76290
1606348800000,2020-11-26 00:00:00,SOL/USDT,2.2651,2.3097,1.7120,1.9032,16134733,30659714.8995,145914
1606262400000,2020-11-25 00:00:00,SOL/USDT,2.2896,2.4856,2.1686,2.2673,16621443,38945721.5183,134305
1606176000000,2020-11-24 00:00:00,SOL/USDT,2.2839,2.4840,2.1323,2.2894,15447405,35462933.5794,133277
1606089600000,2020-11-23 00:00:00,SOL/USDT,2.1488,2.3611,2.1045,2.2826,10403310,23468968.9056,89669
1606003200000,2020-11-22 00:00:00,SOL/USDT,2.4013,2.4287,2.0302,2.1502,11135646,24421002.5472,94765
