https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1.61214E+12,2/1/2021 0:00,DOT/USDT,16.144,16.579,15.703,16.468,10333533.1,166371384.9,415581
1.61205E+12,1/31/2021 0:00,DOT/USDT,16.553,17.602,15.655,16.144,13949745.9,230759664.6,514238
1.61196E+12,1/30/2021 0:00,DOT/USDT,16.833,17.099,16.126,16.55,12136769.3,200789265.4,431316
1.61188E+12,1/29/2021 0:00,DOT/USDT,16.897,17.82,16,16.831,21195359.2,357048905.8,659729
1.61179E+12,1/28/2021 0:00,DOT/USDT,15.448,17.506,15.276,16.896,19734954.4,330261205.3,547082
1.61171E+12,1/27/2021 0:00,DOT/USDT,17.123,17.148,15.065,15.451,22808197.9,361110327.9,613913
1.61162E+12,1/26/2021 0:00,DOT/USDT,17.215,17.809,16.03,17.117,17951438.2,303606025.8,542666
1.61153E+12,1/25/2021 0:00,DOT/USDT,18.003,19.17,17.082,17.216,23728209.4,431040013.6,658948
1.61145E+12,1/24/2021 0:00,DOT/USDT,18.774,18.786,17.23,18.002,20148331.4,361186108.2,561707
1.61136E+12,1/23/2021 0:00,DOT/USDT,17.134,18.848,16.804,18.771,32037873.3,572932778.7,904266
1.61127E+12,1/22/2021 0:00,DOT/USDT,16.016,18.021,14.666,17.134,39246882,649739580.9,1088193
1.61119E+12,1/21/2021 0:00,DOT/USDT,18.022,18.2,14.936,16.01,48007550.6,791152347.1,1180121
1.6111E+12,1/20/2021 0:00,DOT/USDT,16.411,18.273,14.8,18.017,43651933.4,716123184.7,1072566
1.61101E+12,1/19/2021 0:00,DOT/USDT,16.595,17.579,16.019,16.411,25134220.9,423131350.2,704651
1.61093E+12,1/18/2021 0:00,DOT/USDT,17.09,18.25,15.801,16.601,30254407.6,518499042.1,819942
1.61084E+12,1/17/2021 0:00,DOT/USDT,17.946,18.252,16.281,17.091,50857981.8,877515645.9,1324979
1.61076E+12,1/16/2021 0:00,DOT/USDT,13.158,19.492,13.152,17.943,85164987.8,1421706363,1992957
1.61067E+12,1/15/2021 0:00,DOT/USDT,14.53,15.021,11.771,13.158,69143443.5,942970479.7,1434609
1.61058E+12,1/14/2021 0:00,DOT/USDT,10.964,14.799,10.9,14.5,65840041.9,809050764.9,1324380
1.6105E+12,1/13/2021 0:00,DOT/USDT,8.301,11.423,7.98,10.955,41110779.5,405259390.2,845836
1.61041E+12,1/12/2021 0:00,DOT/USDT,8.262,8.717,7.927,8.299,17754425.6,147137901.2,389047
1.61032E+12,1/11/2021 0:00,DOT/USDT,9.306,9.341,7.08,8.269,49149219.2,389843194.3,1010159
1.61024E+12,1/10/2021 0:00,DOT/USDT,9.762,10.036,8.635,9.306,22581383.8,213488607.9,431836
1.61015E+12,1/9/2021 0:00,DOT/USDT,9.306,9.866,9.051,9.756,17809407.2,167745053.6,347261
1.61006E+12,1/8/2021 0:00,DOT/USDT,9.663,9.846,8.8,9.303,25356450.5,235551158.6,506061
1.60998E+12,1/7/2021 0:00,DOT/USDT,10.089,10.757,9.35,9.66,32630386.9,326369916.1,637588
1.60989E+12,1/6/2021 0:00,DOT/USDT,9.736,10.55,9.463,10.082,30740975.8,305774220.2,576016
1.6098E+12,1/5/2021 0:00,DOT/USDT,9.524,10.09,9.005,9.727,28997019.7,279244343.5,545276
1.60972E+12,1/4/2021 0:00,DOT/USDT,10.188,10.584,8.666,9.524,47943722.2,461114327.7,873097
1.60963E+12,1/3/2021 0:00,DOT/USDT,9.213,10.558,8.862,10.187,57323818.3,544512819.6,1007535
1.60955E+12,1/2/2021 0:00,DOT/USDT,8.287,9.876,7.888,9.213,64951391.2,575364755.8,1087271
1.60946E+12,1/1/2021 0:00,DOT/USDT,9.264,9.445,8.097,8.287,50583028.7,442648460.6,816216
1.60937E+12,12/31/2020 0:00,DOT/USDT,7.244,9.532,7.17,9.264,59255089.8,485906693.8,986856
1.60929E+12,12/30/2020 0:00,DOT/USDT,7.555,7.69,7.057,7.244,43369301.8,319244364.1,650150
1.6092E+12,12/29/2020 0:00,DOT/USDT,6.608,7.73,6.2,7.554,65605380.9,442142002.3,963377
1.60911E+12,12/28/2020 0:00,DOT/USDT,5.151,6.737,5.111,6.608,49271746,295858547.6,658089
1.60903E+12,12/27/2020 0:00,DOT/USDT,5.195,5.435,4.938,5.149,22121978.6,115800991.6,265880
1.60894E+12,12/26/2020 0:00,DOT/USDT,5.213,5.295,5.076,5.193,9129517.1,47415432.91,127814
1.60885E+12,12/25/2020 0:00,DOT/USDT,5.114,5.29,5.04,5.212,9655072.7,49773371.44,138795
1.60877E+12,12/24/2020 0:00,DOT/USDT,4.717,5.207,4.631,5.115,15103613.3,75188046.22,201139
1.60868E+12,12/23/2020 0:00,DOT/USDT,5.153,5.197,4.582,4.717,13136426.7,64647387.47,175353
1.6086E+12,12/22/2020 0:00,DOT/USDT,4.879,5.181,4.801,5.154,13992355.8,70027005.19,183700
1.60851E+12,12/21/2020 0:00,DOT/USDT,5.191,5.457,4.782,4.877,15555773.8,79045205.29,208560
1.60842E+12,12/20/2020 0:00,DOT/USDT,5.344,5.45,5.08,5.19,9485680.4,50029418.35,122083
1.60834E+12,12/19/2020 0:00,DOT/USDT,5.365,5.59,5.275,5.343,8289631.5,45142475.68,109958
1.60825E+12,12/18/2020 0:00,DOT/USDT,5.35,5.518,5.253,5.365,10031010.9,53836288.26,143943
1.60816E+12,12/17/2020 0:00,DOT/USDT,5.372,5.775,5.259,5.35,21169940.1,116177222.6,281628
1.60808E+12,12/16/2020 0:00,DOT/USDT,5.241,5.386,5.113,5.372,11642308.1,60877556.51,142441
1.60799E+12,12/15/2020 0:00,DOT/USDT,4.896,5.29,4.841,5.241,10679386.5,54276527.48,146820
1.6079E+12,12/14/2020 0:00,DOT/USDT,4.896,5,4.824,4.896,5389103.6,26415357.67,78757
1.60782E+12,12/13/2020 0:00,DOT/USDT,4.738,4.998,4.724,4.897,6843704.3,33373857.67,92612
1.60773E+12,12/12/2020 0:00,DOT/USDT,4.614,4.796,4.606,4.738,4918743.1,23243698.14,77823
1.60764E+12,12/11/2020 0:00,DOT/USDT,4.802,4.815,4.54,4.612,5967989.9,27748806.06,104528
1.60756E+12,12/10/2020 0:00,DOT/USDT,4.871,4.918,4.74,4.8,4622098.7,22256654.63,77819
1.60747E+12,12/9/2020 0:00,DOT/USDT,4.74,4.938,4.616,4.87,8663731.1,41685678.93,118941
1.60739E+12,12/8/2020 0:00,DOT/USDT,5.06,5.075,4.695,4.74,7513347.8,36537185.48,111431
1.6073E+12,12/7/2020 0:00,DOT/USDT,5.133,5.16,5.01,5.06,4273470.4,21750410.45,78612
1.60721E+12,12/6/2020 0:00,DOT/USDT,5.185,5.208,5.002,5.132,4433815.4,22590559.51,76564
1.60713E+12,12/5/2020 0:00,DOT/USDT,4.999,5.195,4.876,5.185,5398595.6,27312653.72,98713
1.60704E+12,12/4/2020 0:00,DOT/USDT,5.402,5.439,4.954,4.999,8403326.4,43757710.67,125344
1.60695E+12,12/3/2020 0:00,DOT/USDT,5.457,5.575,5.316,5.403,8426289,45947097.51,125299
1.60687E+12,12/2/2020 0:00,DOT/USDT,5.083,5.546,4.981,5.457,10838129.1,57444499.83,159641
1.60678E+12,12/1/2020 0:00,DOT/USDT,5.382,5.556,4.952,5.081,14573932.8,76761964.81,217333
1.60669E+12,11/30/2020 0:00,DOT/USDT,5.19,5.453,5.13,5.381,15230998.5,80615812.67,215750
1.60661E+12,11/29/2020 0:00,DOT/USDT,4.891,5.21,4.795,5.19,9711959.5,48635617.57,144026
